regions,indicators,stations,season,Unit,Date,Value
Muscat,Average Temperature,Total,Total,degree celsius,2011M1,21.5
Muscat,Average Temperature,Total,Total,degree celsius,2011M2,22.8
Muscat,Average Temperature,Total,Total,degree celsius,2011M3,25.9
Muscat,Average Temperature,Total,Total,degree celsius,2011M4,29.5
Muscat,Average Temperature,Total,Total,degree celsius,2011M5,35.1
Muscat,Average Temperature,Total,Total,degree celsius,2011M6,36.4
Muscat,Average Temperature,Total,Total,degree celsius,2011M7,33.6
Muscat,Average Temperature,Total,Total,degree celsius,2011M8,32.1
Muscat,Average Temperature,Total,Total,degree celsius,2011M9,32
Muscat,Average Temperature,Total,Total,degree celsius,2011M10,29.7
Muscat,Average Temperature,Total,Total,degree celsius,2011M11,26.3
Muscat,Average Temperature,Total,Total,degree celsius,2011M12,22.1
Muscat,Average Temperature,Total,Total,degree celsius,2012M1,21.2
Muscat,Average Temperature,Total,Total,degree celsius,2012M2,21.8
Muscat,Average Temperature,Total,Total,degree celsius,2012M3,25.3
Muscat,Average Temperature,Total,Total,degree celsius,2012M4,29.8
Muscat,Average Temperature,Total,Total,degree celsius,2012M5,35.7
Muscat,Average Temperature,Total,Total,degree celsius,2012M6,36.6
Muscat,Average Temperature,Total,Total,degree celsius,2012M7,35.4
Muscat,Average Temperature,Total,Total,degree celsius,2012M8,34.6
Muscat,Average Temperature,Total,Total,degree celsius,2012M9,33.3
Muscat,Average Temperature,Total,Total,degree celsius,2012M10,30
Muscat,Average Temperature,Total,Total,degree celsius,2012M11,27
Muscat,Average Temperature,Total,Total,degree celsius,2012M12,22.9
Muscat,Average Temperature,Total,Total,degree celsius,2013M1,21.3
Muscat,Average Temperature,Total,Total,degree celsius,2013M2,22.2
Muscat,Average Temperature,Total,Total,degree celsius,2013M3,25.2
Muscat,Average Temperature,Total,Total,degree celsius,2013M4,28.9
Muscat,Average Temperature,Total,Total,degree celsius,2013M5,32.7
Muscat,Average Temperature,Total,Total,degree celsius,2013M6,33.1
Muscat,Average Temperature,Total,Total,degree celsius,2013M7,31.1
Muscat,Average Temperature,Total,Total,degree celsius,2013M8,31.1
Muscat,Average Temperature,Total,Total,degree celsius,2013M9,30.7
Muscat,Average Temperature,Total,Total,degree celsius,2013M10,30.6
Muscat,Average Temperature,Total,Total,degree celsius,2013M11,25.8
Muscat,Average Temperature,Total,Total,degree celsius,2013M12,22.7
Muscat,Average Temperature,Total,Total,degree celsius,2014M1,20.1
Muscat,Average Temperature,Total,Total,degree celsius,2014M2,21.1
Muscat,Average Temperature,Total,Total,degree celsius,2014M3,24.5
Muscat,Average Temperature,Total,Total,degree celsius,2014M4,30.5
Muscat,Average Temperature,Total,Total,degree celsius,2014M5,34.5
Muscat,Average Temperature,Total,Total,degree celsius,2014M6,36.6
Muscat,Average Temperature,Total,Total,degree celsius,2014M7,33.8
Muscat,Average Temperature,Total,Total,degree celsius,2014M8,31.7
Muscat,Average Temperature,Total,Total,degree celsius,2014M9,32
Muscat,Average Temperature,Total,Total,degree celsius,2014M10,30.4
Muscat,Average Temperature,Total,Total,degree celsius,2014M11,26.1
Muscat,Average Temperature,Total,Total,degree celsius,2014M12,22.7
Muscat,Average Temperature,Total,Total,degree celsius,2015M1,21.32
Muscat,Average Temperature,Total,Total,degree celsius,2015M2,24.55
Muscat,Average Temperature,Total,Total,degree celsius,2015M3,25.41
Muscat,Average Temperature,Total,Total,degree celsius,2015M4,32.1
Muscat,Average Temperature,Total,Total,degree celsius,2015M5,36.02
Muscat,Average Temperature,Total,Total,degree celsius,2015M6,35.26
Muscat,Average Temperature,Total,Total,degree celsius,2015M7,36.55
Muscat,Average Temperature,Total,Total,degree celsius,2015M8,35.13
Muscat,Average Temperature,Total,Total,degree celsius,2015M9,33.13
Muscat,Average Temperature,Total,Total,degree celsius,2015M10,31.3
Muscat,Average Temperature,Total,Total,degree celsius,2015M11,26.91
Muscat,Average Temperature,Total,Total,degree celsius,2015M12,22.99
Muscat,Average Temperature,Total,Total,degree celsius,2016M1,22.3
Muscat,Average Temperature,Total,Total,degree celsius,2016M2,23
Muscat,Average Temperature,Total,Total,degree celsius,2016M3,26.6
Muscat,Average Temperature,Total,Total,degree celsius,2016M4,29.4
Muscat,Average Temperature,Total,Total,degree celsius,2016M5,35.3
Muscat,Average Temperature,Total,Total,degree celsius,2016M6,35
Muscat,Average Temperature,Total,Total,degree celsius,2016M7,34.1
Muscat,Average Temperature,Total,Total,degree celsius,2016M8,34.2
Muscat,Average Temperature,Total,Total,degree celsius,2016M9,31.1
Muscat,Average Temperature,Total,Total,degree celsius,2016M10,30.7
Muscat,Average Temperature,Total,Total,degree celsius,2016M11,25.9
Muscat,Average Temperature,Total,Total,degree celsius,2016M12,24.2
Muscat,Average Temperature,Total,Total,degree celsius,2017M1,22.6
Muscat,Average Temperature,Total,Total,degree celsius,2017M2,22.3
Muscat,Average Temperature,Total,Total,degree celsius,2017M3,26.4
Muscat,Average Temperature,Total,Total,degree celsius,2017M4,31.9
Muscat,Average Temperature,Total,Total,degree celsius,2017M5,36.7
Muscat,Average Temperature,Total,Total,degree celsius,2017M6,35.4
Muscat,Average Temperature,Total,Total,degree celsius,2017M7,35.4
Muscat,Average Temperature,Total,Total,degree celsius,2017M8,32.9
Muscat,Average Temperature,Total,Total,degree celsius,2017M9,32.5
Muscat,Average Temperature,Total,Total,degree celsius,2017M10,31.2
Muscat,Average Temperature,Total,Total,degree celsius,2017M11,26.3
Muscat,Average Temperature,Total,Total,degree celsius,2017M12,21.8
Muscat,Average Temperature,Total,Total,degree celsius,2018M1,21.5
Muscat,Average Temperature,Total,Total,degree celsius,2018M2,23.5
Muscat,Average Temperature,Total,Total,degree celsius,2018M3,26.8
Muscat,Average Temperature,Total,Total,degree celsius,2018M4,31.9
Muscat,Average Temperature,Total,Total,degree celsius,2018M5,35.3
Muscat,Average Temperature,Total,Total,degree celsius,2018M6,37
Muscat,Average Temperature,Total,Total,degree celsius,2018M7,35.1
Muscat,Average Temperature,Total,Total,degree celsius,2018M8,32.7
Muscat,Average Temperature,Total,Total,degree celsius,2018M9,31.5
Muscat,Average Temperature,Total,Total,degree celsius,2018M10,30.4
Muscat,Average Temperature,Total,Total,degree celsius,2018M11,26.8
Muscat,Average Temperature,Total,Total,degree celsius,2018M12,23.6
Muscat,Average Temperature,Total,Total,degree celsius,2020M1,21.2
Muscat,Average Temperature,Total,Total,degree celsius,2020M2,22.7
Muscat,Average Temperature,Total,Total,degree celsius,2020M3,24.55
Muscat,Average Temperature,Total,Total,degree celsius,2020M4,30.16666667
Muscat,Average Temperature,Total,Total,degree celsius,2020M5,34.81666667
Muscat,Average Temperature,Total,Total,degree celsius,2020M6,35.05
Muscat,Average Temperature,Total,Total,degree celsius,2020M7,33.36666667
Muscat,Average Temperature,Total,Total,degree celsius,2020M8,32.85
Muscat,Average Temperature,Total,Total,degree celsius,2020M9,32.91666667
Muscat,Average Temperature,Total,Total,degree celsius,2020M10,29.13333333
Muscat,Average Temperature,Total,Total,degree celsius,2020M11,25.6
Muscat,Average Temperature,Total,Total,degree celsius,2020M12,22.8
Muscat,Average Humidity,Total,Total,%,2011M1,65.3
Muscat,Average Humidity,Total,Total,%,2011M2,59.1
Muscat,Average Humidity,Total,Total,%,2011M3,49.7
Muscat,Average Humidity,Total,Total,%,2011M4,49.2
Muscat,Average Humidity,Total,Total,%,2011M5,37.5
Muscat,Average Humidity,Total,Total,%,2011M6,41.2
Muscat,Average Humidity,Total,Total,%,2011M7,56
Muscat,Average Humidity,Total,Total,%,2011M8,66
Muscat,Average Humidity,Total,Total,%,2011M9,60.3
Muscat,Average Humidity,Total,Total,%,2011M10,57.2
Muscat,Average Humidity,Total,Total,%,2011M11,67.8
Muscat,Average Humidity,Total,Total,%,2011M12,57
Muscat,Average Humidity,Total,Total,%,2012M1,62
Muscat,Average Humidity,Total,Total,%,2012M2,54
Muscat,Average Humidity,Total,Total,%,2012M3,46.7
Muscat,Average Humidity,Total,Total,%,2012M4,41.3
Muscat,Average Humidity,Total,Total,%,2012M5,34.5
Muscat,Average Humidity,Total,Total,%,2012M6,38
Muscat,Average Humidity,Total,Total,%,2012M7,52.7
Muscat,Average Humidity,Total,Total,%,2012M8,58.5
Muscat,Average Humidity,Total,Total,%,2012M9,52.2
Muscat,Average Humidity,Total,Total,%,2012M10,46.2
Muscat,Average Humidity,Total,Total,%,2012M11,59.1
Muscat,Average Humidity,Total,Total,%,2012M12,67.2
Muscat,Average Humidity,Total,Total,%,2013M1,64.2
Muscat,Average Humidity,Total,Total,%,2013M2,63
Muscat,Average Humidity,Total,Total,%,2013M3,60.5
Muscat,Average Humidity,Total,Total,%,2013M4,54.3
Muscat,Average Humidity,Total,Total,%,2013M5,47
Muscat,Average Humidity,Total,Total,%,2013M6,68.2
Muscat,Average Humidity,Total,Total,%,2013M7,78
Muscat,Average Humidity,Total,Total,%,2013M8,75
Muscat,Average Humidity,Total,Total,%,2013M9,71.1
Muscat,Average Humidity,Total,Total,%,2013M10,58.4
Muscat,Average Humidity,Total,Total,%,2013M11,65
Muscat,Average Humidity,Total,Total,%,2013M12,58.9
Muscat,Average Humidity,Total,Total,%,2014M1,62.1
Muscat,Average Humidity,Total,Total,%,2014M2,59.3
Muscat,Average Humidity,Total,Total,%,2014M3,63.2
Muscat,Average Humidity,Total,Total,%,2014M4,46.3
Muscat,Average Humidity,Total,Total,%,2014M5,36.9
Muscat,Average Humidity,Total,Total,%,2014M6,40.6
Muscat,Average Humidity,Total,Total,%,2014M7,61.3
Muscat,Average Humidity,Total,Total,%,2014M8,66.4
Muscat,Average Humidity,Total,Total,%,2014M9,60.8
Muscat,Average Humidity,Total,Total,%,2014M10,52.9
Muscat,Average Humidity,Total,Total,%,2014M11,55.2
Muscat,Average Humidity,Total,Total,%,2014M12,58.7
Muscat,Average Humidity,Total,Total,%,2015M1,55.6
Muscat,Average Humidity,Total,Total,%,2015M2,48.98
Muscat,Average Humidity,Total,Total,%,2015M3,52.08
Muscat,Average Humidity,Total,Total,%,2015M4,36.33
Muscat,Average Humidity,Total,Total,%,2015M5,30.9
Muscat,Average Humidity,Total,Total,%,2015M6,48.27
Muscat,Average Humidity,Total,Total,%,2015M7,52.15
Muscat,Average Humidity,Total,Total,%,2015M8,52.97
Muscat,Average Humidity,Total,Total,%,2015M9,53.55
Muscat,Average Humidity,Total,Total,%,2015M10,53.78
